Название,Вымышленный автор,Автор,Монстры,Уровень,Тип,Сила,Материал,Оружие,URL в игре,Текст
Тагарин,Хан и Туан,Александр и Елена,тагар,52,шлем,ближе к физике,чешуя,нет,https://the-tale.org/guide/artifacts/322,"
> Тагарин — это одна из разновидностей шлемов, наиболее распространённая в пустынной и степо-пустынной местности. Это обуславливается тем, что именно на данной территории добывается сырьевой материал для его изготовления, а именно — чешуя тагара.   
>   
> Такие защитные наголовья имеют разнообразную форму. Например, сферическую, полусферическую, куполообразную.   
>   
> Стоимость подобных шлемов варьируется в зависимости от места продажи, и наличия необходимого материала на сырьевом рынке.   
>   
> Также стоит отметить, что нередко в лавках, где продаются доспехи, встречаются поддельные тагарины, которые обладают низкой защитной функцией и качеством.

***«Большая энциклопедия Хана и Туана», том восемнадцатый***"
Кристалл-накопитель,Каиниллин,Александр и Елена,сломанный молотобой,13,хлам,магическая,неизвестен,нет,https://the-tale.org/guide/artifacts/393,"
> Что у тебя, путник?.. О, неплохо. Даже весьма неплохо. Позволь... Приличная работа. Крупный, чистый. Я куплю. Но не слишком уж радуйся, уважаемый. Я сказал, неплохо, а не превосходно. Огранка плоха...  
>   
> Я попрошу не напирать на прилавок, и не мести по нему бородой. Он без того идеально чист. Не сомневаюсь, что как всякий дварф, ты можешь отличить правильную огранку, от неправильной. Но и я не какой-нибудь там орк! Эльфы понимают в магии лучше всех! И могу тебя уверить, этот кристалл, может быть, и хорош для светильника, но как накопитель магической энергии огранён плохо. Рассеивание большое...  
>   
> В таком случае, уважаемый, иди и засунь этот кристалл обратно в молотобой!..  
>   
> Так-то лучше. Я ведь сразу сказал, что разбираюсь в подобных вещах. Крепление, в которое зажат накопитель, подходит только одним конструктам. Я торгую всевозможными трофеями много лет, и знаю цену всему. Честную цену! Так тебя интересует честная цена?

***Купец Каиниллин «Торг с путешественником»***"
Красивый тяжёлый свёрток,нет,Александр и Елена,невиданная тварь,1,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/343,"
> До-Чанг мечтал. Он представлял, как вырастет, станет великим алхимиком и разбогатеет. Шансы у него были – До был умён и знал все болотные растения... Очень мало шансов – ему нужна походная алхимическая лаборатория... Один крохотный шанс – он был беден, как храмовая мышь... Без шансов – лаборатория стоила кучу денег.  
>   
> Но он фантазировал. На что бы потратил деньги. Сначала, конечно, он бы купил большой красивый дом в городе. Забрал бы туда мать. И нанял бы ей слуг. И купил бы много еды. Чтобы ей не пришлось больше никогда терять здоровье на тяжёлой работе, и чтобы она забыла, как это – голодать.  
>   
> Ещё бы он купил себе меч, настоящий, а не деревянный. И сапоги. И перстень, как у господина Шел-Ге...  
>   
> – За работу! За работу!..  
>   
> Крик старого гоблина, управляющего промывочной, прервал течение мыслей До-Чанга и вернул его к невеселой реальности. Юный гоблин вздохнул и принялся грузить руду в маленькую тележку с одним колесом... Хотелось выть. Хотелось есть. И спать.  
>   
> Мальчик не знал, что скоро всё изменится, что скоро наступит праздник, и мать подарит ему небольшую походную лабораторию алхимика, на которую каким-то чудом накопила деньги и которую спрятала дома, в погребе, красиво завернув в чистую ткань и перевязав лентой. Он не знал, что через пару лет сделает своё первое открытие в области лекарственных трав. Что через десять мать снова выйдет замуж и будет счастлива. Что через тридцать он возглавит Университет Ботаники и Алхимии. Что по праву будет считаться гением... Но никогда не поймёт, как его мама смогла накопить деньги на ту первую походную лабораторию.

***Несколько дней до великого праздника. Где-то на юге Пандоры***"
Холерные наплечники,Каиниллин,Александр и Елена,песчаный холерник,39,наплечники,равновесие,хитин,нет,https://the-tale.org/guide/artifacts/250,"
> Да, да, конечно же, открыто, там даже табличка висит, не заметил?.. Ах, ты читать не умеешь, ну ничего, для твоей расы это вовсе необязательно… Безусловно, я с тобой полностью согласен, абсолютно пустая трата времени, особенно для тебя. Это же сразу видно. Так чтобы ты хотел приобрести? У меня есть товары со всего мира…  
>   
> Что?! Холерные наплечники?! Ты себе, неуч, хотя бы представляешь, что это такое?!. Да?! Тогда у меня к тебе только два вопроса: менее оригинального способа самоубийства ты для себя придумать не смог? Просто повеситься у ближайшей конюшни тебе кажется чересчур банальным?..   
>   
> Что ты в меня этой бумажкой тычешь? Я не нанимался просвещать безграмотных представителей людской расы. Так, ты убираешь этот кинжал и уходишь отсюда, а я не вызываю стражу, хорошо?.. Ладно, ладно и прочитаю это письмо.  
>   
> Хм. Тебе никто не говорил, что ты не умеешь правильно выстраивать беседу?.. Нет? Ну, я так и думал. С этого надо было начинать. Рекомендация у тебя отличная, как хорошего покупателя и, о Хранитель, смышлёного парня. Ты не украл эту бумажку?.. Хорошо, хорошо я достану тебе холерные наплечники, есть у меня один знакомый, у него должны быть. Но предупреждаю сразу, стоить они будут очень дорого, и я возьму аванс…  
>   
> Аванс — это деньги вперёд, ты мне сначала платишь часть суммы, а потом, когда я принесу тебе наплечники, ты платишь остальное. Нет, ты действительно не нашёл где-нибудь это письмо?.. Аванс составит монет так… Камни, да конечно подойдут…  
>   
> Так, ради интереса, ты в курсе, что подобные элементы доспеха, если неправильно за них взяться или хотя бы коснуться, могут заразить тебя чем-то крайне неприятным и, возможно, неизлечимым?.. Ты носил такие? Э-э, а давно снял?... Фу-ух... Нет, нет мне просто душно как-то стало. Ты иди, иди. Через дней пять заходи за своим заказом.

***Купец Каиниллин «Торг с путешественником»***"
Печатка праха,Каиниллин,Александр и Елена,некромант,46,кольцо,ближе к физике,металл,нет,https://the-tale.org/guide/artifacts/319,"
> Заходите, заходите. Ох, Йорг! Я не верю своим глазам. Неужели это ты?.. Всё, всё, я понял. Вне всякого сомнения, можно было бы обойтись и без фамильярного пачканья моей туники, путем обнимания… Конечно, я не меняюсь. Я же эльф, магия она неизменна! Если ты решил зайти ко мне, чтобы попытаться очередной раз набраться мудрости, тогда приготовь хорошую бутылку вина и дождись, пока я закончу работу в своей лавке… Нет? Интересно, тогда зачем же ты топчешь мой чистый пол, вылиняй твоя страшная борода… Трофеи специально для меня нёс? Ну что ж, давай я гляну, что ты там приволок. Выкладывай…   
>   
> М.. Червлёное серебро и корунд в виде капли, постепенно меняющий оттенок. Безусловно, не зря я тебя деньгами выручал… Да-да я помню, что ты уже давно отработал. Откуда у тебя это кольцо?.. В бою с некромантом добыл? Однако Йорг, ты растёшь. Только не зазнавайся, до эльфа тебе все также далеко… Несомненно, твоя категоричность в этом вопросе говорит не в твою пользу. Стремление приблизится к совершенству, крайне положительно повлияет на развитие любой личности. Даже твоей… Я вижу, что ты дварф, это сложно не заметить. И что?..   
>   
> Ладно, хватит смеяться, вернёмся к кольцу. Это печатка праха, неимоверно редкий артефакт. Её невероятно сложно сделать, очень трудно достать и весьма тяжело продать… Почему? Ритуал её создания некромантом сильно специфичен. Многих смущает… Я не думаю, что ты хочешь это знать. Вкратце, сначала было замучено и умерщвлено не мало народа, а только потом появилось это кольцо… Нет, глупец, это не гадость. Как я уже сказал, это очень могущественный артефакт, дарующий его носителю прекрасное здоровье. Тебе всё равно не понять. Давай к делу, я заберу эту печатку за…

***Купец Каиниллин «Торг с путешественником»***"
Полдроны,Очирбат и Йорл,Александр и Елена,сломанный молотобой,13,наплечники,физическая,металл,нет,https://the-tale.org/guide/artifacts/392,"
> – Чирба, помоги-ка. Надо его раскурочить.  
>   
> – Что ты собрался делать с этими обломками?  
>   
> – Помогай, давай! И, р-раз!..  
>   
> – Фу-ух... Йорл, теперь, может, объяснишь?  
>   
> – Вот эти две детали видишь? Симметричные, выпуклые. У молотобоев эти железки функцию брони выполняют. Бывают даже зачарованные.  
>   
> – Это я понял. Мы его только что долбили, и еле продолбили! Ты что с этим-то делать собрался?  
>   
> – Ну соображай, Очирбат! Если они конструкту ""руки"" защищали, почему б им меня не прикрыть? Гляди, я сюда ремни продену, и будет удобно крепить. Всё плечо закрывают, верхнюю часть руки, и лопатку.  
>   
> – Как рыцарские полдроны?  
>   
> – По-сути это они и есть. Создатели молотобоя мудрить не стали, использовали давно придуманное и проверенное.  
>   
> – Но они же весят, каждый, как чугунный казан!  
>   
> – Во-первых, преувеличиваешь. Во-вторых, зато прочные.  
>   
> – А ещё ржавые, и правый малость мятый...  
>   
> – Это да. Долбанул ты хорошо. Молот вон как перекосило. Но это ничего, в городе приведу в порядок.

***Очирбат и Йорл «Патрулирование трактов»***"
Мешок с отрезанной головой,Лялислав Бездомный,Александр и Елена,охотник за головами,24,хлам,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/147,"
> Путешествуя, немало кого встретишь и на всякий народ насмотришься. Не то, что у каждой расы свои отличия, в каждом краю свои порядки. Но при этом есть те, кто одинаков почти везде. Те, кого объединяют единые цели, нередко одни и те же неприятности, своеобразный чуждый, часто порицаемый остальными, уклад жизни. Одним из неплохих примеров являются охотники за головами.   
>   
> Первый раз с представителем этого ремесла я встретился на востоке. Дикий то край был, монстров тьма-тьмущая. Деревни редкие, серые, большие, частоколом огороженные и жители в них, хмурые, злые, как будто уставшие.   
>   
> Остановился я в постоялом доме. Помимо меня там гостил еще орк. Решив познакомиться с постояльцем, подсел к нему за стол и угостил пенным. Когда я мостился на узкую липкую скамейку, мое внимание привлек кожаный мешок у его ног.   
>   
> Другой темы для начала разговора на ум мне не пришло, поэтому дружески улыбнувшись, я поинтересовался:  
> -Трофей какой таскаешь?  
> Он хмыкнул и, осклабившись, радостно так отвечает:  
> - Нет, какой трофей? Эт голова!  
> - В смысле голова? — удивился я.  
> Орк нагнулся, развязал мешок и извлек из его недр обескровленную человеческую голову. Я пивом поперхнулся, служка визг пронзительный издала, а мужика, что за стойкой стоял обильно вырвало.   
>   
> Орк, явно довольный произведённым эффектом, жадно отхлебнул из ранее принесенной мной кружки и спрятал голову обратно в мешок.   
>   
> Немного отойдя от ступора, я расспросил своего соседа о его жуткой ноше. Оказалось, это был охотник за головами.   
>   
> После нам с ним одна дорога выпала, в которой потешал он меня байками о своем ремесле и о тягостях жизни орочей рассказал. Путь был неблизкий, оба мы в город собирались, поэтому наслушался я многого, да и узнал об охотниках за головами немало.   
>   
> По прибытии мне удалось пронаблюдать, как легко, в ближайшем здании стражи, обмениваются головы преступников на звонкую монету. Потом попутчик мой отправился тратить появившиеся деньги. А я? Я, пополнив припасы, продолжил свой путь.

***Лялислав Бездомный «Брильянтовый тракт»***"
Тараканий щит,Лялислав Бездомный,Александр и Елена,семиглаз,12,вторая рука,равновесие,неизвестен,нет,https://the-tale.org/guide/artifacts/292,"
> … Ещё из него щит можно сделать хороший. Для этого, прежде всего, нужно не раздолбать верхний хитин семиглаза. Именно из него изготавливается лицевой слой щита. Во-вторых, надо будет немного потрудиться, вырезая необходимую форму. А так, в принципе, смастерить его не сложно. У того, кто имел дело с подобной работой, на все про все уйдет не больше четверти дня.   
>   
> Из-за внешней схожести семиглаза с самым обычным тараканом, ну конечно если не считать размеры, щиты, изготавливаемые из него, шутливо прозвали тараканьими.   
>   
> К основным преимуществам подобной защиты я бы отнес ее сравнительно небольшой вес, хорошую устойчивость перед пламенными и ледяными атаками, легкость персонального подгона формы.   
>   
> Если пройтись по недостаткам, то здесь стоит сказать о сложности ремонта тараканьего щита, высокой вероятности появления на нем трещин после боя и общей недолговечности.   
>   
> Естественно все зависит от того, кто владеет этим щитом, как его использует. Можно и не один год с ним отходить, а можно и за пару боев убить. В общем, всё индивидуально.

***Лялислав Бездомный «Записки путешественника»***"
Волшебный посох,Лялислав Бездомный,Александр и Елена,заблудший шаман,17,основная рука,ближе к магии,дерево,посох (урон: ударный),https://the-tale.org/guide/artifacts/65,"
> Выбирая между тихой жизнью, верной женой, кучей ребятишек, играющих в саду, и пыльными дорогами, ведущими в неизвестность, ты должен понимать, что выбирая второе, ты почти наверняка, обрекаешь себя на одиночество.   
>   
> Ведь, если быть честным, то стоит признаться, что очень сложно найти чудака, который будет согласен скитаться всю жизнь, только для того, чтобы, найдя место, где ещё никто не бывал, оглянуться вокруг и со щемящим сердцем от красоты дикого края восторженно вздохнуть.  
>   
> Увидеть романтику в недолгом путешествии легко: тракт, не очень опасные монстры манят многих, но действительно навсегда втоптать свою тень в дорогу, мечтают единицы. Наверно поэтому у таких, как я: психов, сумасшедших, ненормальных — часто появляется странная привязанность к вещам.   
>   
> В одиночку лазя по болотам, блуждая по горным тропам, волей неволей начинаешь одушевлять снаряжение, которое помогает тебе выжить. Это происходит неожиданно, само собой. Допустим, соскочил крюк с каменного выступа, а у тебя тут же с губ слетело: «Вот паразит!», или еще что-нибудь покрепче. Можно подумать, он послушает тебя, и, устыдившись своей оплошности, сразу хорошо зацепится. А попробуй объяснить потом, кому и зачем ты это сказал. Вот мне бы было очень сложно.   
>   
> Вообще, рассуждать на тему отношений борцов за справедливость и их мечей, авантюристов и рюкзаков, убийц и их ножей, можно долго. Это не просто так вещи, это как в храмах реликвии — нечто очень сокровенное и неприкосновенное для других. К слову, у меня, допустим, посох волшебный был. Так у нас с ним целый роман случился, правда недолгий. Мы с ним и мирились, и ссорились, я его продать грозился, он меня за это по голове бил, ну волшебный, чего этому удивляться.   
>   
> А потом в нашей жизни появилась разлучница. Эльфка одна приглянулась моему посоху, так он меня слушаться совсем перестал, ну я и уступил его ей. Зачем вещи жизнь портить. Так эльфка та до сих пор, как отдыхать собирается, целует его на ночь. Вот такие дела…

***Лялислав Бездомный «Записки путешественника»***"
Дубина,Переяр,Александр и Елена,бродячий дуб,8,основная рука,ближе к магии,дерево,дубина (урон: ударный),https://the-tale.org/guide/artifacts/11,"
> Это кажется, мол, дубина! Несолидно как-то. А умные охотники, путешественники делают дубины… знаешь из чего?.. Ну ясно, что из дерева! Я спрашиваю, из какого?.. Молодёжь. Запомни: настоящая дубина делается из бродячего дуба! Такое оружие покрепче некоторых клинков.  
>   
> Дубина – это же классика! Каждый уважающий себя авантюрист… да что там! Каждый мужчина должен уметь владеть дубиной! Надёжное, проверенное всеми поколениями, какие только были, оружие. Пожалуй, это вообще первое оружие, освоенное нами.

***Из бесед у камина со старым Переяром***"
