Название,Книга,Раздел,Текст
У героев пенсий нет,Книга героев,Годы странствий,"Спасибо Хранителям нашим  
За то, что не дрогнет рука,  
За скорость реакций спасибо,  
За то, что дорога легка.  
  
Спасибо, что бьём так же крепко,  
Сколько б не стукнуло лет.  
Хвала, что героев на пенсии,  
Как не было, так и нет!"
Хорош,Книга героев,Триумф и Слава,"В трактире было шумно. Изрядно подвыпивший бродяга кричал:  
  
– Пустите меня! Я его сейчас порву на части! Пустите, говорю!  
  
Человека, требующего пустить, держали трое его друзей. Перевёрнутый стол, лавка и разбитая вдребезги посуда разделяли их с дварфом. Коренастый обитатель гор топорщил бороду, положив руку на рукоять топора, заткнутого за широкий пояс.  
  
Один из державших, со страшным шрамом на лице, попытался успокоить товарища:  
  
– Не здесь, слышишь? Не напрашивайся на проблемы. Потом со стражей разбираться, с гильдией его.  
  
– Плевать! – вопил в ответ буйный. – Я ему голову размозжу!  
  
– Духодар, – подал голос старший из людей. – Вызови его на Арену. Там и разберётесь, за кем правда. А здесь точно не стоит, Духодар. И так уже миски побил, пиво разлил.  
  
– Хорошо, отпустите. Всё уже, говорю! – утихомирился названный Духодаром, – А ты, борода, слыхал, чего парни мои предложили? Завтра утром. Или струсишь?  
  
– Буду, – лаконично бросил дварф и вышел на улицу.  
  
\*\*\*  
  
Рано утром на Арене редко бывает много зрителей. В этот раз народу тоже собралось едва-едва, но все вчерашние посетители трактира были на трибунах, даже сам трактирщик пришёл. Он сидел рядом с тремя друзьями Духодара.  
  
– А что, господа, Хранитель-то у друга вашего помогает ему? – спросил трактирщик.  
  
– Ну, как всем бродягам. А что? – отозвался старший из троицы.  
  
– Так это… дварф-то этот опасный боец, на Арене частенько показывается. Не меньше сотни боёв прошёл. А друг ваш как? Хорош?  
  
– Нормальный. Справится, – ответил тот, что со шрамом.   
  
Трактирщик хотел ещё что-то сказать, но тут публика начала кричать и аплодировать. На Арену вышли Духодар и дварф.  
  
Сошлись сразу, без разговоров. Сначала казалось, что Духодар победит, он насел на противника умело и быстро. Бородач всё время отступал, и уже получил пару раз, не нанеся ни одного удара.  
  
– Справится! – радостно орал старший. – Справится, парни, вот-вот одолеет.   
  
Его товарищи тоже были воодушевлены. Всё указывало на то, что их друг прав.  
  
Но Духодар не справился. У дварфа будто открылось второе дыхание, тогда как человек стал уставать и двигаться всё медленнее. В тот момент, когда уже раненый Духодар проскочил по инерции мимо бородача, тот толкнул противника так сильно, что пару ударов сердца Духодар не касался ногами песка Арены перед тем, как упасть. Публика бесновалась. Если судить по крикам, то собралось раз раз в пять больше народу, чем было на самом деле. Публика заглушила слова дварфа, которые тот проорал, размахивая руками. Будто воздух вспыхнул перед бородачом, пламя понеслось прямо к Духодару. Человек уже начал вставать, но закричал, объятый огнём, и снова повалился на песок. Дварф повторил пассы, вокруг противника вздулся ещё один горящий шар. Багровая жаркая сфера лопнула с глухим хлопком, раскидывая неясные, почерневшие и дымящиеся лохмотья, и одновременно с этим оборвался жуткий вопль Духодара.  
  
– Я же говорю, опытный боец, – радостно произнёс трактирщик.  
  
– Трактирщик, – повернулся к нему человек со шрамом, – у тебя трактир ведь деревянный? Не боишься, что пожар случится в грозу какую-нибудь?  
  
– Понял, простите. Молчу.  
  
Молчал и не вставал и Духодар. Вернее то, что от него осталось…"
Тридцать лет и три года!,Книга героев,Годы странствий,"Ой,  
Как ходил герой,  
Ходил тридцать лет.  
Ходил тридцать лет,  
Да с тремя летами.  
  
Как все тракты видел,  
Города смотрел.  
Города смотрел,  
Да своими глазами.  
  
Как чудовищ бил,  
Убивал мечом.  
Убивал мечом,  
Да своими руками.  
  
Ой,  
Как решил герой,  
Решил семью завесть.  
Решил семью завесть,  
Да построить дом.  
  
Как хотел тепла,  
Хотел очаг иметь.  
Хотел очаг иметь,  
Да детей потом.  
  
Как он понял тогда,  
Понял не для него.  
Понял не для него,  
Да решил на том.  
  
Ой,  
Как загрезил герой,  
Загрезил дымкой в дали.  
Загрезил дымкой в дали,  
Да чужими местами.  
  
Как поманило в путь,  
Поманило героя.  
Поманило героя,  
Да задвигал ногами.  
  
Как ушёл герой,  
Ушёл на тридцать лет.  
Ушёл на тридцать лет,  
Да с тремя летами."
Шагая к горизонту,Книга героев,Годы странствий,"Гро-Марр полол дыни. Было очень жарко, и уже давно. Воздух на горизонте дрожал, искажая очертания далёких барханов. Прополотых грядок было меньше половины: полоть было лень. Даже нет, лень было вообще. Всё было лень. Держась за поясницу, Гро-Марр разогнулся, бросил тяпку и прошёл к краю огорода, где росло одинокое дерево.  
  
Сев в тени, юный орк подтянул к себе сумку, достал из неё флягу, вяленое мясо и стал есть. Глотнув воды, Гро-Марр грустно вздохнул. Этот огород был самым дальним. Как самого молодого, его родня всегда отправляла именно сюда. Неужели дед не мог выбрать землю поближе к деревне? Хотя, надо признать, дыни здесь росли преотличные. В сотый раз уже юноша признал дедову мудрость… и снова вздохнул.  
  
Дед погиб полгода назад, как и вся остальная родня. Гро-Марр сажал в тот день дыни. Именно здесь. Возможно что именно тогда, когда они погибали, он так же, как сейчас, сидел под деревом, наслаждаясь передышкой. Тогда он вернулся в деревню ближе к ночи - заворачивал к Сухому Ручью собрать трав. Деревня уже не горела. Всюду виднелись тела в чёрных доспехах, а среди чёрных дотлевающих остатков домов лежали обугленные трупы деревенских. И никого живого. Никого...   
  
Когда прошёл шок, когда закончилась истерика, когда Гро-Марра перестало трясти, он понял, что произошло. Деревне просто не повезло. Подобное случалось очень редко. Брошенные трупы в чёрных доспехах — это Чёрные Дети. Предавали ритуальному огню только тех, кто погиб в бою против «чёрных». Самих «Чёрных», скорее всего, порубили «Семеро равных». Они-то и сожгли павших соратников по своему обычаю. А чтобы тела селян не достались на растерзание шакалам или кому похуже, похоронили в огне и их.  
  
«Чёрные дети» напали на деревню, «равные» вмешались, конечно, это же их территория, но слишком поздно. Просто не повезло. Клановые войны редко задевают сторонних.  
  
Запах пожара ещё долго не подпустил бы зверя к деревне. У Гро-Марра было достаточно времени, чтобы навести относительный порядок. Тела врагов он просто оттащил подальше в пустыню, остальных похоронил, уже как положено в его деревне… Было положено. Потом он собрал всё, что уцелело. Уцелело мало. Достаточно еды, что б протянуть пару-тройку дней, но остальное, если что и было, вероятно, забрали Семеро. Юноша мог бы сходить к ним, благо не очень-то далеко, но не пошёл. Не хотел их видеть. Нет, не был в обиде. Просто не хотел видеть никого… Да и ещё. Он надеялся, что кто-то выжил. Уехал в город до нападения, убежал, ушёл с Равными, да мало ли? Вдруг вернётся, а тут никого. Лучше остаться.  
  
Через шесть дней Гро-Марр потерял надежду. На седьмой день с городской ярмарки вернулись две семьи, соседи. Гро-Марр никогда не был им так рад, как в эти минуты, да и они ему, пожалуй.   
  
Гро-Марр остался жить с соседями, да и некуда было идти. И незачем. Отстроил дом заново, упорно полол великолепные дедовы дыни. И уже не каждый день вспоминал родных… Не каждый, но сегодня вот вспомнил. Вздохнул в третий раз и обернулся на шорох, прикидывая, далеко ли тяпка. Та лежала катастрофически далеко.  
Прямо перед его лицом, заслоняя весь мир, была оскаленная пасть. Юноша успел узнать саламандру, но ничего сделать не смог. И с тяпкой бы не смог. Было больно, а потом темно.  
  
\*\*\*  
  
Мысли юноши шевелились с неохотой. Что произошло? Был момент боли. Затем момент темноты. Или даже - Темноты, ибо, ох, непростая то была темнота… «Проклятье! А если саламандра ещё рядом? Поганая бестия, чтоб тебя!»  
  
– Не ругайся. Не нужно.  
  
Гро-Марр подскочил. Вокруг была всё та же пустыня с деревом, дававшим тень. Или не та? Что-то было не так, но молодой орк не успел сообразить, что именно. Рядом стоял…  
  
– Дед?!  
  
– Да, Гро-Марр. Это я. Момент Темноты? Ты всегда был романтиком, – ответил Гро-Марр старший и улыбнулся.  
  
– Дед! – юноша кинулся в дедовы объятья. Мысли путались. Как это? – Как это? Дедушка? Я… я так скучал! А остальные? Сестра? Дед…  
  
– Всё хорошо, внук мой. Со всеми всё хорошо. Не волнуйся.  
  
– Но я думал, что вы…  
  
Гро-Марр осёкся. Он понял, что было не так. Всё. Похоже, но не так. И пустыня не та, и дерево не то, и дынь нет. И небо… А дед всё тот же. Только чуть... моложе.  
  
– Так и есть, Гро-Марр.  
  
Наверное, должно было бы быть страшно, но не было. Не могло быть страшно, когда дед говорил, что всё хорошо.  
  
– Дед, я всех вас увижу?  
  
– Конечно. Но позже.  
  
– Что? Почему?  
  
– Твой Хранитель. Дело в нём, он особенный. И ты особенный. Понимаешь, о чём я?  
  
Юноша понимал. С детства он заслушивался рассказами о героях, которым помогают их Духи-Хранители, Покровители, Ангелы. Название не имело значения. О Духах говорили разное, и вряд ли кто-то знал правду, но все знали о героях. О смельчаках, что очищают тракты от монстров, бандитов и всех тех, кто по сути своей враг для каждого. О воинах, которые каждый день спасают мир. О странниках, без которых развитие Пандоры отставало бы на невесть сколько лет. Гро-Марр, как и все дети, боялся, но всё равно мечтал стать одним из них. Он знал, что теперь будет, но почему-то всё равно спросил:  
  
– Деда, и что теперь будет?  
  
– Всё будет хорошо, – дед понял вопрос по-своему. – Нам тут спокойно, и мы тебя будем ждать. Мы встретимся, когда время придёт. Когда настанет момент встречи. Неплохо звучит? – снова улыбнулся дед. – Поверь, мы все тобой гордимся. Верь мне.  
  
Конечно, юноша верил. И ещё он хотел так много сказать, но что-то мешало. Застряло комом в горле и не давало дышать. Наконец, сглотнув, Гро-Марр произнёс:  
  
– Твои дыни, дед. Я их не бросил. Полол каждую неделю. Ты бы видел, какие они в этом году здоровенные! Как же дыни, дед?  
  
Старый орк засмеялся. Хорошо, весело засмеялся, и сразу стало легче.  
  
– Дыни пусть радуют наших соседей, – сказал мудрый дед. – А тебе пора. Скоро твой момент света.  
  
– Дед, я… я хочу сказать… так много, но у меня не хватает слов. И нет времени, да?  
  
– Я всё знаю, внук. Не беспокойся. И до встречи.  
  
И случился свет. Не вспыхнул, не засиял или погас, не загорелся, а именно так: случился. Случился момент Света.  
  
\*\*\*  
  
В небе были звезды. Гро-Марр лежал под деревом и смотрел, как играет в ветвях мягкий лунный свет. Луна тоже была, но где-то выше, невидимая за листвой. Орк поднялся и втянул ноздрями свежий воздух, наполненный ароматом дынь, растущих тут же рядом, на грядках.  
  
Он помнил кое-что о прошлом. Совсем мало. Помнил, что был момент боли, правда, очень смутно помнил, что его вызвало. Шорох, зубы? Ещё помнил темноту и свет, но вообще ничего о том, что было между ними. Да и было ли? Впрочем, какая разница? Главное, что будет впереди. А будет дорога и поверженный враг. Будет весь мир и друзья.  
  
Ещё будет Дух-Хранитель. Он не оставит, он всегда поможет, и когда он станет помогать, то будет этот запах. Он будет появляться внезапно, едва уловимо, будто кто-то прошёл мимо с дыней в мешке. Не удержавшись, орк сорвал один из этих невероятно пахнущих плодов и запихнул его в сумку. Гро-Марр не знал всего, что можно ожидать от жизни, но почему-то твёрдо верил, что всё будет хорошо. Он улыбался, шагая к горизонту.  
  
\*\*\*  
  
Вместо послесловия  
  
– Расскажите, как вам удалось вывести лучший в Пандоре сорт?  
  
– Это не наша заслуга. Можно сказать, что дыни достались нам по наследству. Когда-то у нас были соседи, и так случилось, что…  
"
Первые мозоли на ногах,Книга героев,Годы странствий,"Ноги болели ужасно – сапоги стали орудием пыток. Весьма изощрённым, надо сказать. До города оставалось всего ничего. Сил идти дальше не было, и Тьёрри свернул с тракта к журчащему? в шагах пятнадцати ручью. Кое-как стянув обувь с многострадальных ног, дварф сунул ступни в холодную воду. Выпала оказия перекурить, чем он и занялся.  
  
Где-то выше по течению раздались крики. Тьёрри сперва проигнорировал их, мало ли кто кричит? Всё время кто-то кого-то хочет съесть, ограбить, убить. Подумаешь, крики, ну и что? Но когда отчётливо послышался женский вопль о помощи, дварф страшно выругался, потом глянул в небо и спросил:  
  
– Дух-Хранитель, ну почему сейчас-то?!  
  
\*\*\*  
  
Больницу специально ставили в стороне от города, чтобы пациентам было спокойно, чтоб никто не мешал им выздоравливать. И место было хорошее: тихое, у широкого ручья, среди десятка ив, достающих ветвями до воды. Кто же знал, что небезызвестный бандит Куляба наберётся наглости появиться так близко к городу?  
  
– Ну что, лекарь? Миром решим, али как? Чаво ценного у тебя есть? – спросил Куляба у щуплого гоблина.  
  
– Миром, Куляба, только пациентов не трогай, – тихо, неуверенно проговорил лекарь.  
  
– Шой-то? Та вон баба, не нравицца мне, как смотрит на меня. Подь сюды, ты, – бандит указал на женщину, которая стояла со всеми больными у крыльца.  
  
Не дождавшись, пока пациентка подойдёт сама, злодей начал приближаться к ней, поигрывая большим кривым ножом.  
  
– Помогите! – вырвалось из уст перепуганной женщины.  
  
Куляба в ответ лишь гнусно захихикал:  
  
– Не надо, Куляба, – произнёс гоблин. – Бери, что хочешь и уходи. В лечебнице много ценного. Лекарства, инструменты. Есть деньги, забирай и уходи, оставь нас.  
  
– Что? – удивился бандит, – А то, что? Ты меня уколами мучить примесси? Гы-гы, смертельную пилюлю съесть заставишь?  
  
За спиной Кулябы раздался голос:  
  
– Нет, гад, я тебе череп раскрою.  
  
Злодей резко обернулся. К нему шёл молодой дварф, босиком, но с крепкой дубиной в руке.  
  
– Ты на кого прёсси, босота? – Взревел Куляба, кидаясь на дварфа.  
  
Вступившемуся за больных сразу же пришлось туго. А уже через несколько мгновений он вовсе потерял надежду выиграть бой. Получив четвёртый удар, дварф упал в траву, зажимая рёбра. Куляба не спеша подошёл , наклонился к нему и произнёс:  
  
– Ну что, герой? Допрыгалси? Смерть у тя будет долгая и лю-ютая...  
  
Бандит засмеялся. Что-то коротко свистнуло, и смех тут же оборвался. Из горла Кулябы выглянул маленький наконечник арбалетного болта. Злодей, казалось, хотел было почесать затылок, но упал, не донеся руку. Дварф кое-как поднялся.  
  
– Что же вы, юноша? – укоризненно затараторил подбежавший лекарь с небольшим изящным арбалетом в руке, впрочем, тут же его отбрасывая. – Вам лучше лежать. Я всё обработаю, зашью. Вы не беспокойтесь. Вы, знаете ли, всех нас спасли. Дали мне время сбегать за оружием. Я, признаться, отчаялся. Куляба застал нас врасплох, а куда мне, доктору, против бандита в рукопашную? То ли дело вы… Знаю, больно, вы уж потерпите. Вон сколько против самого Кулябы выстояли! Ну, вот, пожалуй, и всё. Как вас зовут, позвольте спросить? – Тьёрри.  
  
– Господа, – радостно обратился к своим пациентам гоблин, – позвольте вам представить нашего спасителя Тьёрри!  
  
Дварф смутился, осторожно сел, улыбнулся врачу.  
  
– Спасибо.  
  
– Что вы, что вы? – замахал руками лекарь. – Благодарить должен я. Кстати, как я бы мог это сделать?  
  
– Может, в вашей больнице… – начал Тьёрри, запнулся и, смутившись, закончил, – найдётся что-нибудь от мозолей?"
Полвека странствий,Книга героев,Годы странствий,"Сколько лет мне? Да не помню, но немало, это факт.  
Уж полвека или больше я топчу Пандорский тракт.   
  
Кто-то вспомнит, кто-то вздрогнет: я ж и грабил, и спасал.  
Было – с нечистью сражался, было – слабых убивал.  
  
Занимался шпионажем, набивал свой кошелёк,  
Всю Пандору я излазил от заката на восток.  
  
Морды бил, сорил деньгами, пил, кутил, сражался, врал,  
То я караваны грабил, то я их сопровождал…  
  
Да, полвека – не полгода, было всякое в пути,  
А дорога… Что дорога? Всех за век не обойти."
Ангел смерти,Книга героев,Кровавые страницы,"– Не ори, денег дам, будет тебе приданое знатное.  
   
– Не надо, господин. Отпустите меня, пожалуйста.  
   
К берёзке, растущей у дороги, прижалась спиной юная красавица. К ней медленно подходил богато одетый лорд. Он нетрезво улыбался, тусклые глаза блестели, зрачки были неестественно широкими.  
   
– Не хочешь? – спросил мужчина у девушки, доставая из кармана маленькую шкатулку и вынимая из неё сушёный гриб. Затем он медленно разжевал его. – Нет? Зря, это неописуемо. Ну, как хочешь. Иди сюда, не бойся. Озолочу, глупая.  
   
Богач потянул к несчастной руку. В тот же момент откуда-то слева, по дуге, прилетел камень, угодив мужчине в плечо. Тот, вскрикнув, отскочил от красавицы и завертел головой.  
   
К берёзке шёл некто, закутанный в запылённый чёрный плащ с полностью скрывающим лицо капюшоном. За спиной незнакомца был не менее пыльный тощий рюкзак.  
   
– Ты будешь болтаться на виселице, кретин! – Заверещал лорд, выхватывая из-за пояса узкий кинжал с украшенной сапфирами рукоятью. – Я лорд этих земель! Если выживешь, после того как я тебя порежу, смерд, обещаю, тебя вздёрнут на этой самой берёзе!  
   
Не сбавляя шага, путник приближался.  
   
– Тебя же попросили отстать, господин. Засунь себе куда поглубже свою железку и проваливай. Уйдёшь по хорошему, гнаться не стану, – и, подойдя уже совсем близко, закончил: – И завязывал бы ты, господин, с грибами своими, а то не сегодня так завтра печень в уборной оставишь.  
   
Лицо лорда сначала налилось кровью, затем стремительно побледнело. Страшно сквернословя, он кинулся на наглеца. Закутанный в плащ человек даже не пошевелился. Узкий клинок ударил ему в грудь, точно в сердце. Девушка закричала, закрыв лицо ладонями. Раздался звон металла, кинжал лорда отскочил от скрытых под плащом доспехов.  
   
– Сюрприз, – негромко отметил путник и ударил противника в лицо.  
   
Высокородный отшатнулся, снова грязно выругался и атаковал опять. Его соперник едва заметно дёрнул головой, но этого оказалась достаточно: кинжал прошёл мимо. Капюшон упал с головы незнакомца, обнажая седые волосы и молодое лицо с холодными серыми глазами, от которых узорами-змейками проползли к ушам татуировки.  
   
Легко уклонившись от третьей атаки, седоволосый сбил лорда с ног, пинком выбил из руки оружие и наступил ногой ему на грудь. Наклонившись, человек заглянул землевладельцу в глаза:  
   
– Ты хотел меня убить, – спокойно то ли спросил, то ли констатировал факт незнакомец.  
   
Съеденный гриб действовал в полную силу. Лорду показалось, что небо почернело и голос татуированного отдаётся эхом. Впрочем, татуировки исчезли. Они растворились, рассеялись дымом, и на одурманенного высокородного смотрел уже не человек, а белый череп с чёрными провалами вместо серых глаз.  
   
– Кто ты? – хрипло спросил лежащий.  
   
– Ангел Смерти, – был ответ, громом прокатившийся по округе. В это мгновение галлюцинация развеялась.  
   
Седовласый выхватил из-под плаща меч, взял двумя руками и развернул клинком вниз.  
   
– Для тебя, гад, я Ангел Смерти, – произнёс человек и пригвоздил лорда к земле."
Коса Курносой,Книга героев,Кровавые страницы,"Караван из трёх телег двигался через поле. Справа был виден холм со старой осиной на вершине. Доброгнев, глядя на дерево, улыбнулся, родные места всё-таки. Вспомнил, как сидел когда-то под той осиной, шёл дождь, а над горизонтом сияла радуга…   
  
\*\*\*  
  
… Шёл дождь, а над горизонтом сияла радуга. Доброгнев, крепкий, русоволосый и жизнерадостный юноша сидел на холме вместе с другом. Тот был, напротив, худощавый, всегда серьёзный, если не хмурый. Как же его звали? Уже не вспомнить. А ведь они тогда были, словно братья. Мечтали вдвоём попутешествовать, увидеть мир, стать героями, что под покровительством Духов ходили по всем дорогам Пандоры.   
  
– Давай, когда вырастем, – глядя на радугу, произнёс друг, – сделаем татуировки. Вот здесь, – он похлопал ладонью по внутренней стороне левого предплечья.   
  
– Давай, а какие?  
  
– Какой-нибудь девиз. Надписи. Только обязательно одинаковые.  
  
– Свобода и дорога?  
  
– Масло и масло? Нет уж, – парень задумался. – Свобода или смерть!  
  
– Замётано! – пообещал Доброгнев и закатал рукав, рассматривая предплечье…  
  
\*\*\*  
  
…Закатал рукав, рассматривая предплечье. На внутренней стороне красовалась вытатуированная витиеватыми буквами надпись. Доброгнев посмотрел на холмик с осиной.  
  
– Я сдержал слово, друг.  
  
Судьба развела их. Хмурый парень переехал жить неизвестно куда. С тех пор они не виделись, а наивная мечта весёлого мальчишки сбылась. Его стал опекать Хранитель. Доброгнев таки увидел мир, исходил почти все дороги и прославился.  
  
Впереди показался человек в форменном сером плаще. Герой спустил рукав и поправил пояс с мечом. Серый Плащ подошёл ближе, стала видна нашивка капитана. Караван встал.   
  
– Как дорога? – спросил Доброгнев.  
  
– Неплохо, ходок, – буркнул в ответ серый, – Я не к тебе. Мне нужен он.   
  
Капитан ткнул пальцем в первого возничего. Щуплый гоблин, сидевший на козлах ведущей телеги, вжал голову в плечи.   
  
– Извини, капитан, – начал Доброгнев, – Я взялся охранять караван. Не знаю, что он сделал, но ты либо уходи, либо…  
  
Он не договорил, из-под серого плаща показалась шпага.   
  
– Ясно. Ну, как знаешь, – весело сказал охранник каравана и достал свой клинок.   
  
Бой длился недолго. Капитан Серых Плащей лежал поперёк дороги, раскинув руки, Доброгнев перевязывал себе ногу. Подошёл гоблин-возничий.  
  
– Ух-ха! – Воскликнул он, посмотрев на труп. – Ну ты даёшь! Полголовы, как бритвой, вж-жик! Да ты Коса Курносой просто. Первый раз такое вижу!  
  
Герой, не обращая внимания на болтовню, принялся вытирать меч.  
  
– Как есть, Коса Курносой. Полбашки, как воска кусок, ровненько так. Ну, надо же, – восхищался гоблин, – Слушай, ты меня здорово выручил. Эти серые меня уже два года ищут.  
  
Доброгнев скосил глаза на говорившего, и бросил небрежно, поправляя лямки рюкзака:  
  
– Лезь на телегу. Идём дальше.  
  
– Минуту, лады? Вещички серому ни к чему ведь уже-то, правда? Шпага твоя, без вопросов, но если остальной хлам брать не будешь, то я бы рубашонку его забрал и сапоги. Ты их и не запачкал почти.   
  
Охранник против не был. Гоблин стянул с мёртвого капитана сапоги и занялся рубашкой. Ему было тяжело ворочать тело человека. Освободив из рукава левую руку, он стал снимать рубашку с правой, но тут получил под ребра ногой и отлетел к телегам.   
  
Доброгнев стоял над Серым Плащом и смотрел на его татуировку с внутренней стороны левого предплечья. «Свобода или смерть!» гласила надпись на руке трупа.  
  
– Ты чего?! Эй! – крикнул возничий, поднимаясь, – хочешь рубашку этой сволочи, так забирай!  
  
– Его надо похоронить, – глухо, не своим голосом отозвался герой.   
  
– Ещё чего! Не стану я тратить время на этого ублюдка…  
  
Человек оказался рядом с говорившим мгновенно. Широко размахнувшись и увеличивая силу за счёт разворота корпуса, он ударил возничего в скулу. Голова дёрнулась, что-то хрустнуло, и гоблин повалился на землю. Доброгнев вернулся к телу капитана.  
  
– Ты всё же стал свободным, – он не смотрел на мертвеца. Не мог. Говорил, глядя на холм и старую осину, – без Хранителя. Не отказался от мечты. Посмотрел на мир… Прости.  
  
Через три часа караван двинулся. Гоблина на козлах сменил молодой орк. Возничие опасливо поглядывали на своего охранника. Телеги удалялись от того места, где на обочине валялось тело гоблина, а чуть в стороне, на холме, под старой осиной появился камень с высеченной надписью: «Свобода или смерть!»."
С костлявой по пути,Книга героев,Нетленные страницы — Смерть как она есть," *Скажи мне, как твои дела?  
 Поведай все свои обиды.  
 Ты любишь ночь когда светла,  
 Иль дождь сплошной и небо сизо?  
   
 Давай немного поболтаем,  
 Пройдёмся вместе мы с тобой  
 В дороге время скоротаем.  
 Ты – Смерть моя, а я герой.  
   
 (Наиллун)*  
   
Была глубокая ночь, когда Наиллун вышел к развилке. Глянув на дорожный указатель, он собрался свернуть влево, но кто-то его окликнул. Эльф резко обернулся и увидел Её.   
– На запад? – спросила та, которую он видел уже много раз.  
   
– Да, собирался на запад, – ответил Наиллун. – А как это случилось?  
   
Она всегда казалась ему красивой. Говорят, все видят Её по-разному: кто-то старухой с клюкой, кто-то костлявой ведьмой с остро отточенной косой, но ему она всегда являлась прекрасной девушкой в белом платье. Последняя Невеста, так называл Её отец Наиллуна, так и он продолжал Её называть.  
   
– О чём ты? – удивилась Смерть.  
   
– Ты пришла. А я даже не понял, откуда, когда? Как это случилось на этот раз?  
   
– А, это… Нет, ты не умер. Я была тут рядом, – улыбнулась Она и махнула рукой в сторону дороги, уходившей на восток, – вижу, ты идёшь. Решила тебя немного проводить. Ты не против? Нам по пути.  
   
Это было что-то новенькое. Смерть пришла просто так. Конечно, и раньше Она приходила непонятно зачем. Раз за разом терпеливо приходила убедиться, что Хранитель не оставил, воскресил. Но сегодня всё иначе.  
   
– Зачем ты здесь? – решил уточнить эльф.  
   
– Говорю же, нам по пути. Пройдёмся вместе, поболтаем?  
   
– Как скажешь, – пожал плечами Наиллун, – дорога для всех. Идём.  
   
Какое-то время шли молча, потом путник не выдержал:  
   
– Почему ты всегда не вовремя? Нет, я не про сегодня, а вообще. Каждый раз в самый неподходящий момент? Почему?  
   
– А когда подходящий момент? Думаешь, можно вовремя умереть? Все всегда недовольны. Правда, вы, герои, ещё куда ни шло, редко впадаете в истерики. Наверное, верите в своих Хранителей. С простыми смертными беда. Слёзы, мольбы, смешно сказать, даже угрозы и взятки, – и без всякого перехода Смерть предложила: – Когда бы ты хотел меня видеть?  
   
– Видеть? Ха! Ты часто приходишь, но редко показываешься.  
   
– Не придирайся. Как скажешь, когда бы ты хотел умирать? По каким-то конкретным случаям, то есть, знать заранее?  
   
Эльф задумался. Разговор был бредовым. Не по содержанию, о чём с Ней ещё общаться, а по факту. Прежде Смерть не говорила с ним, только показывалась.  
   
– Возможно, – произнёс он неуверенно. – Почему бы и нет?  
   
– Варианта два. Первый: ты знаешь, что сейчас, через минуту умрёшь. Сопротивляться нет смысла, и ты не сопротивляешься. Соответственно, умираешь. Второй: ты не знаешь, что через минуту умрёшь, и борешься до последнего. Срываешь ногти, хрустишь зубами и прочее, в результате выживаешь. Иначе нельзя, так как ты не марионетка, а я не кукловод. И ты настолько глуп, что тебе нужно объяснять подобные вещи?  
   
– Ты хочешь сказать, – недовольно буркнул Наиллун, – что я умираю только тогда, когда делаю недостаточно для того, чтобы выжить? Не до конца борюсь, сдаюсь?  
   
– Нет, я хочу сказать, что это бывает порой. Но бывает и судьба. А вообще вы оба, ты и Хранитель твой, меня бесите. Думаешь, можно вот так запросто ко мне приходить и уходить, когда вздумается, безо всяких обязательств, как к распутнице какой?  
   
– Слушай, при чём здесь я? Мне эти процессы неподвластны!  
   
– А плевать я хотела. Рано или поздно ты останешься со мной, понял, гад? Чего я вообще с тобой разговариваю?  
   
– Сама хотела, между прочим! – возмутился эльф.  
   
– Не умничай, паршивец! Вот оставит тебя Хранитель однажды…  
   
– Ты уверена, что нам по пути?  
   
– И впрямь. Нет у меня времени на всяких идиотов, – ответила Смерть и исчезла.  
   
– Может, зря я так? – подумал Наиллун. – С Ней, пожалуй, только об этом и говорят при встрече. Читает Ей кто-нибудь стихи? Спрашивает ли не «А что дальше?», «Что со мной теперь будет?», а о ней? Как у Неё дела? Чем Она… существует? Увлекается? У героев много интересных историй, почему я Ей не рассказал ни одной из них?  
   
Эльф твёрдо решил завести совсем другую беседу, на иные темы, совершенно иначе себя вести, если ему выпадет ещё когда-нибудь идти по дороге со Смертью."
