Название,Вымышленный автор,Автор,Уровень,Тип,Архетип,Интеллект,Общение,Структура,Особенности,Передвижение,Форма тела,Размер тела,Положение тела,Оружие,Способности,Территория,Добыча,URL в игре,Текст
Ведомый,Светозар сын Креслава,Александр и Елена,40,нежить,авантюрист,рефлексы,жестовое,мёртвая плоть,"торс: мощный,кожа: бледная,глаза: остекленевшие (рыбьи)",2 ноги,гуманоидное,средний,вертикальное,плеть (урон: рвущий / ударный; материал: экзотика; тип силы: равновесие),"Горгулья,Последний шанс,Удар,Безрассудная атака","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","сверкающий хлыст,ржавый кинжал",https://the-tale.org/guide/mobs/182,"
> ...И даже добрая сталь, по самую рукоять вошедшая в сердце, не остановила того бешеного дварфа. Казалось бы, как может двигаться эта изрубленная груда плоти? Но я едва уклонялся от странного сверкающего хлыста, летевшего вслед за его рукой, и снова быть бы мне мертвецом, кабы не мой Хранитель. Словно увидев, в какую беду я попал, он бросил мешок монет прямо на голову монстра, в которого обратился мой недавний собеседник. Пока свёрнутая набок голова дварфа с хрустом вставала на место, я извернулся и размозжил её гербовым щитом.  
>   
> Розовато-серые мозги разлетелись по округе, и нежить осела оземь, будто из неё выдернули стержень, заставлявший держаться на ногах и биться до последнего. Я и сам чувствовал себя измотанным до предела – в пылу долгой битвы мы порядком удалились от тракта… Но, право, по сравнению с фаршем из костей и мелко порубленного мяса, валявшегося передо мной, я ещё легко отделался. Хорошо, что мой попутчик не умел драться… Хоть и молотил руками-ногами остервенело, будто мухоморов обожрался. Я несколько раз валил его на землю, как казалось, мёртвым, а он снова вставал и с ожесточением пытался впиться мне в горло… Как таких монстров носит земля Пандоры?..

***Дневник Светозара сына Креслава***"
Мортбеллатор,Йодгар Шлезвиг,Александр и Елена,60,конструкты,воин,рефлексы,жестовое,мёртвая плоть,"кожа: бледная,глаза: остекленевшие (рыбьи),запах: гниль",2 ноги,гуманоидное,средний,вертикальное,меч (урон: колющий / рубящий; материал: металл; тип силы: ближе к физике),"Горгулья,Сильный удар,Удар,Ошеломление","хвойный лес,лиственный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,сухие луга,луга","хундсгугель,мозг мортбеллатора",https://the-tale.org/guide/mobs/210,"
> Мортбеллатор являет собой сочетание магомеханического искусства и некромантии высшего уровня. Поднятый некромантом боец помещается в особый доспех, который усилен различными магомеханизмами, после чего буквально сращивается с этим доспехом при помощи магии и редких алхимических компонентов. В результате получается “живучий” и опасный конструкт, который уже способен эффективно сражаться за счёт рефлексов и отработанных движений, сохранившихся в памяти мёртвого тела, заточённого в него. Мортбеллаторы способны самостоятельно, без полного контроля некроманта выполнять простейшие приказы и сражаться. Если же некромант берёт их под прямое управление, они становятся гораздо опаснее.  
>   
> Внешне мортбеллаторы напоминают странствующих рыцарей в полной броне, но лишь издали. Двигаются относительно быстро для столь массивного доспеха, издают при этом разнообразный лязг, скрип, грохот.  
>   
> Встречаются очень редко. Наиболее эффективны удары по голове, то есть шлему — весь конструкт управляется через мозг заточённого в него мертвеца. Повреждения мозга приведут к ухудшению работы или полному её прекращению. Рекомендуется избегать встреч с мортбеллатори при любой возможности, тем более, что при передвижении они издают достаточно много шума и вполне заметны.  
>   
> Их редкость объясняется высокой сложностью изготовления: лишь немногие некроманты могут позволить себе подобного слугу. Из внутренностей уничтоженного мортбеллатора можно выделить несколько ценных алхимических компонентов, а также редкие кристаллы, использующиеся в магомеханизмах.  
>   
> Первое их описание относится к 213 году III эпохи и составлено героем Илиром аэп Тальдиром, но первый малоповреждённый образец был досконально изучен лишь в 215 году.

***«Монструм», бестиарий Йодгара Шлезвига,  
учёного университета естественных наук,  
бывшего кондотьёра и члена отряда по уничтожению бестий.***"
Заблудший шаман,Переяр,Александр и Елена,17,разумные двуногие,маг,нормальный,"вербальное,жестовое",живая плоть,"худой,запах: немытое тело (вонь),одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,посох (урон: ударный; материал: дерево; тип силы: ближе к магии),"Заряд,Удар,Боец","низкие горы,мёртвый лес,мёртвый лес на холмах,пустыня,песчаные дюны","волшебный посох,разбитый посох",https://the-tale.org/guide/mobs/60,"
> Вот, вообще, как тебе у меня? Нравится? То-то. Трофеев много, это да, но действительно жемчужины коллекции — редкость.  
> Ну, к примеру взять… Глянь вон на посох. Не волчья шкура какая-нибудь. Это я из пустынь орочьих привёз. Есть у них, у орков, стало быть, шаманы. Всё как положено: в бубны бьют, травки жгут, всякими связками косточек и шкурок потрясают над головой, когда у костра пляшут. Татуировки на тело наносят. Шик и колорит, в общем.  
>   
> Но есть среди них заблудшие. То ли они в песках бескрайних заблудились и дорогу домой найти не могут, хе-хе, от отваров своих и палящего солнца одуревшие, то ли в блуд ударились, и повыгоняли их за это, шаманов заблудших, из городов. Не знаю. Суть в том, что валандаются по трактам теперь, путников грабят. И вот, стало быть, один такой ночью к костру моему подкрался... А я тогда жертвоприношениями только увлёкся, как раз. Сижу, значит, никого не трогаю, огненную лису потрошу, готовлю голубку к аутодафе по всем правилам… Тут… Бац!!! Прямо по затылку мне посохом. Аж искры из глаз. Посох пополам хрустнул. Я – кувырок вперёд и в сторону, подскакиваю, оборачиваюсь. Заблудший шаман. Глаза безумные, небось, от жары сбрендил совсем. Сталь у меня уже в руке, хотя шатает, что пьяного. Мозг он мне изрядно сотряс, гад, удар у него что надо. Но посох-то он об меня сломал…  
>   
>  Так что вот. Обзавёлся я отличным охотничьим трофеем. И, к тому ж, урок полезный усвоил: если в жертву приносишь орка там, или человека – надо его раздеть. Одежда в огне воняет мерзко… Не так, как потроха, но к тем запахам я-то давно привычный был.

***Из бесед у камина со старым Переяром***"
Пожиратель плоти,Переяр,Александр и Елена,44,разумные двуногие,авантюрист,нормальный,"вербальное,жестовое",живая плоть,"глаза: безумные,одежда: плохо",2 ноги,гуманоидное,средний,вертикальное,топор (урон: рубящий; материал: металл; тип силы: ближе к физике),"Убийца,Удар,Быстрый","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,глубокая вода,мелкая вода,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","мясник,фигурка из кости",https://the-tale.org/guide/mobs/152,"
> …Это что! Вот был у меня случай… ты садись к камину-то, садись. Ага. Так вот. Взялся я письмо отнести. Не далеко, в общем-то, но и не близко. А молодой ещё, горячий. Гордо иду, с самомнением наперевес, хе-хе.  
>   
> Ну и в одной деревеньке, в кабаке, выпало мне с одним парнем за столом сидеть. Тоже странствовал. Познакомились… Не помню точно, может и впрямь случайность, но сдается мне, что он сначала спросил куда я путь держу, а после оказалось, что нам в одну сторону.  
>   
> Короче, он, мол, а расскажи мне по дороге о своих приключениях. Я же ж, ясное дело, зарумянился весь, плечи расправил. Рассказывать стал, где-то приукрасил, где-то умолчал о деталях, которые меня менее… ну геройским делают. Идём, он заслушался. Временами, главное, еще такой: «вот это да!.. ну даёшь,.. да быть не может! И ты его одолел?.. ну ты молодец, слушай!..». Восторженный такой. А потом резко так, ни с чего: «А я в секте состою. Нам такие нужны, не хочешь?» Я, мол, нет, благодарю, секты и всё такое прочее меня не интересуют. А что, говорю за секта-то? Интересно просто.  
>   
> Глянул он на меня и говорит, куда-то в сторону глядя: «Жизнь – суровая штука. И нет в ней равных, так? Но жить-то надо. Вертеться как-то, решения искать. И наша секта нашла одно. Можно стать очень сильным, ловким, умным и, как следствие, очень богатым, уважаемым. Все женщины твои, все тебя боятся. Заманчиво ведь?» Я, мол, да, а что за способ? Думал, скажет, что секрет, что посвящаются только свои. Нет, сказал…  
>   
> Вина подлей мне, и продолжу… Ага, на чем я?.. А, ну да. Так вот. Если, говорит, ты ешь оленину, к примеру взять, то насыщаешь желудок и ни чего более. Но! Пожирая плоть врага, любого, будь то эльф, гоблин, человек, всё равно, тогда!.. Не зеленей! Рано… Тогда ты вбираешь в себя часть его силы, умений. Вот, говорит, если я ноги твои съем, то стану быстрее бегать. И смотрит на меня иначе уже как-то.  
>   
> Когда он продолжил, дескать: «Мы, Пожиратели Плоти, в этом толк знаем, вот мозг, например…»; я уже со сталью в руке стоял и, признаться, слегка нервничая, а потому неуклюже, тащил из-за спины щит. А топор у него был, к слову сказать, солидный, большой такой мясницкий. Ну и понеслась!  
>   
> Я финтом сразу ему в противоход ушёл, разворачиваюсь для удара, уже представил, как его шея хрустнет под моим клинком, ан нет! Его там нет уже. Еле успел его контратаку на щит принять. Я в полуоборот, доворачиваю корпус бедрами, а он, сволочь успел топор подставить!.. Не верю я, конечно, что он там что-то чьё-то в себя лишнее вобрал сверх меры, но противник для меня оказался более чем суровым. Я уже даже подумал, с чего он меня вбирать начнёт, но повезло… Хранитель обратил взор свой на меня, спас…  
>   
> Да очень просто. С небес монеты посыпались, в аккурат, за спиной этого пожирателя плоти. Я как крикну, мол, конец тебе! Кавалерия! И пальцем ему за спину тычу. Он на звон и обернулся. Ну, с реакцией у меня всегда было отлично, а хорошую сталь дед ещё выбирать научил.  
>   
> Короче, отскочило у него от башки чего-то, на арбуза волосатого кусок похожее, он даже звука не издал. Я еще пафосно так, мол, ну что, говорю, кто теперь чей мозг есть станет… Ты что?! Нет, конечно! Ты сдурел что ли? Спалил я его, как положено, ангелу моему хранителю во славу, монетки пособирал и дальше двинул. Кстати, хотел их сохранить, как талисман, но в трактире городском решил, что лучше за здоровье моего ангела-хранителя выпить… И ты знаешь? Я уверен, что это было верным решением. Ну, когда б ещё за него полный трактир людей, эльфов, орков, дварфов и гоблинов всю ночь пил, веселился и куролесил?

***Из бесед у камина со старым Переяром***"
Вирика,Лялислав Бездомный,Александр и Елена,1,разумные двуногие,авантюрист,низкий,"вербальное,жестовое",живая плоть,"худой,кожа: тёмная,зубы: клыки,торс: хилый,грива",2 ноги,гуманоидное,маленький,вертикальное,"нож (урон: колющий / режущий; материал: камень; тип силы: ближе к физике),клыки (урон: кусательный; материал: зуб; тип силы: равновесие)","Удар,Кожа да кости,Быстрый","высокие горы,низкие горы","каменный нож,лохмы вирики",https://the-tale.org/guide/mobs/72,"
> В горах места есть просто потрясающие. Вот забрел я как-то в долину одну, что промеж пика Грудера и Вельзового кряжа находится. Маленькая такая, от ветров укрытая, вся кустами заросшая, а чётко посередине в ней озеро красуется, в общем, мечта изнуренного горной дорогой путника.   
>   
> Оглядевшись и проверив, нет ли ничего настораживающего, я решил остановиться в том чудном месте на ночлег. А место и действительно оказалось чудным…  
>   
> Ближе к заходу солнца, как раз когда я закончил с постирушками и, полуголый после купания, обсыхал у костра, принюхиваясь к вкусно побулькивающему котелку, до меня донесся легкий шорох. Привычка и многолетний опыт сделали свое дело. Уже через тридцать ударов сердца я был с оружием в руках и, застегивая мокрые непослушные пряжки на штанах, вглядывался в окружающую меня долину. Опасность не заставила себя долго ждать.   
>   
> Поняв, что её обнаружили, из кустов справа на меня выскочила вирика, из-за других ещё одна. В общем, началась свистопляска.   
>   
> Конечно, эти маленькие краснокожие существа, кинувшись на меня, обрекли себя на смерть, но руку мне всё-таки разодрать умудрились и котелок с недоготовленной похлебкой перевернули.   
>   
> Естественно, если бы я был помоложе да понеопытнее, так легко я бы не отделался. Для тех, кто не знает, расскажу.   
>   
> Вирика — это довольно слабенький здоровьем монстрик, живущий по большей части в одиночку, но бывает и стаями, хотя в их случае принято говорить семьями. Имея вполне человеческий костяк, они до ужаса худы. Рост имеют небольшой, гоблинский. Питаются вирики чем попало, ну то есть, что в рот попало, то и съели. Острые зубы и сильные челюсти им в этом хорошо помогают. Кочуя по горам, вирики редко надолго задерживаются где-либо, предпочитая не охотиться дважды на одном и том же месте, поэтому следы их пребывания достаточно сложно заметить.   
>   
> Так что будьте осторожны, устраиваясь на привал в горах. Внешняя безопасность мест часто бывает обманчивой, и совсем недалеко могут поджидать голодные монстры.

***Лялислав Бездомный «Записки путешественника»***"
Джинн,Хан и Туан,Александр и Елена,13,стихийные существа,маг,низкий,"вербальное,жестовое,телепатическое",живая плоть,"торс: мощный,кожа: тёмная,глаза: светятся,рога: маленькие",2 ноги,гуманоидное,большой,вертикальное,когти (урон: рвущий; материал: роговое образование; тип силы: магическая),"Здоровяк,Удар,Боец","пустыня,песчаные дюны,высокие горы,низкие горы","волшебная лампа,разбитая лампа",https://the-tale.org/guide/mobs/57,"
> Джинн — это существо, обитающее, в основном, в пустынной местности. Некоторые из них отдают предпочтение влажным оазисам, некоторые пескам. Но бывали случаи, когда они появлялись в горах, лесах и даже городах.  
>   
> У этих обитателей нашего мира присутствует разделение по полу, джинны это – самцы или мужчины, а джинии, джиньи — это самки или женщины. Также джинны делятся на четыре вида: дэины — воздушные, мариды — водные, ифриты — огненные, дэау — песчаные или земляные.   
>   
> Вне зависимости от стихийной принадлежности, все они очень крепки телом, крайне опасны и агрессивны. Доподлинно известны случаи, когда разгневанный джинн одним тяжёлым ударом крошил камень.   
>   
> В качестве дома джинны используют кувшины, амфоры, лампы, бутылки и прочие сосуды. Забравшись в столь необычное жилище, эти существа способны не выходить оттуда десятки лет.

***«Большая энциклопедия Хана и Туана», том третий***"
Сломанный молотобой,Переяр,Александр и Елена,13,конструкты,воин,рефлексы,жестовое,металл,толстый,4 лапы,бочкообразное,средний,вертикальное,молот (урон: ударный; материал: металл; тип силы: физическая),"Ошеломление,Сильный удар,Удар,Громила,Критический удар,Неповоротливый","болото,хвойный лес,лиственный лес,заболоченный лес,джунгли,мёртвый лес,песчаные дюны,высохшие растрескавшиеся холмы,грязевые холмы,холмы с высохшей травой,зелёные холмы,заболоченные холмы,хвойный лес на холмах,лиственный лес на холмах,заболоченный лес на холмах,джунгли на холмах,мёртвый лес на холмах,высокие горы,низкие горы,пустыня,высохшая растрескавшаяся земля,грязь,сухие луга,луга","полдроны,кристалл-накопитель",https://the-tale.org/guide/mobs/205,"
> Обычное дело. У магомеханизмов без присмотра вообще часто «ум» ломается, и молотобои в числе к этому склонных. Убили, скажем, хозяина, конструкт на месте потопчется, потопчется, да и пойдёт себе. А настроение-то боевое! Хе-хе...  
>   
> Вспомнил, как такая ржавая кастрюля напала на нас с оруженосцем... Да, прибился как-то один. Подвигов жаждал и приключений...  
>   
> Так говорю же, напоролись на молотобоя бесхозного. Уже на ходу, казалось, разваливается. Но это только казалось. Долбанул он оруженосца моего по голове один раз. Только один, но тому хватило. Сверху так, хр-рясь! Голова, как яблоко... Ну опять? Когда ж ты привыкнешь уже, а? Вина глотни-ка.

***Из бесед у камина со старым Переяром***"
Астральный охотник,Перкунос Седой,Александр и Елена,21,стихийные существа,авантюрист,низкий,телепатическое,живая плоть,"кожа: хитин,глаза: светятся,хвост,глаза: голубые",2 ноги,гуманоидное,средний,вертикальное,когти (урон: рвущий; материал: роговое образование; тип силы: равновесие),"Удар,Быстрый","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах","магическая броня,астральный пепел",https://the-tale.org/guide/mobs/15,"
> Приходит оный неведомо откудова, наверное, из самых тёмных и таинственных глубин мироздания и смерть тому будет, кто не владея никакими знаниями и навыками воинскими его повстречает.  
>   
> Плоть у его рыхлое, акоже кисель вязкий, в зелень бьющий и мутностью покрытый, но хитином будто прикрыта. Формою оный на человека похожий, токма носа не имеет, а с заду у него хвост длиннющий. Глаза синим светом сияют. Повстречать его можно в лесах жутчайших, где тишь стоит и туманом поволочено все.   
>   
> Без жалости и страха ведёт он охоту свою дикую. И нету ему дела, то ли мужика взрослого сгубить, то ли дитё в лесу заплутавшее. Быстро и бесшумно, как вихрь, налетает и жизни отнимает, и имя оному — астральный охотник.

  
***Перкунос Седой «О мире и жителях егонных», том первый***"
Кера,Перкунос Седой,Александр и Елена,24,стихийные существа,маг,низкий,"жестовое,телепатическое",живая плоть,"худой,глаза: чёрные (без белков),кожа: бледная,торс: хилый",2 ноги,гуманоидное,средний,вертикальное,касание энергетическое (урон: энергетический; материал: экзотика; тип силы: магическая),"Контроль,Горгулья,Толстяк,Удар,Боец","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах,джунгли,джунгли на холмах,мёртвый лес,мёртвый лес на холмах","теневой плащ,холодящий камень",https://the-tale.org/guide/mobs/104,"
> Дом их — мрак непроглядный, в коем оные родятся и силы набираются. И нету у оных ни сердца ни духа, всё им холод и злоба внутренняя заменяют. А имя им — дети ночи, такоже, учеными мужами керами называемые.   
>   
> Лютой ненавистью они наполняются при встрече со всем, что к солнцу тёплому стремится, и смерти жаждут оные каждому, кому луч золотистый сердцу милым кажется.   
>   
> Ходят твари энти по тропам неизведанным, по путям тенистым, кои в лесах дремучих промеж урочищ гиблых пролегают. Вид имеют керы преужаснейший. Тела их тонкие, словно эльфа какого голодом до изнеможения заморили. Кожу свою бледную, рыхлую, аки творог только откинутый, под полотнищами черными, из тьмы сотканными, прячут оные, дабы солнце яркое не опалило её.   
>   
> Каждому в чащах надо быть осторожным особливо, и не в ступать в бой, без навыков воинских, с поганью энтой.

***Перкунос Седой «О мире и жителях егонных», том десятый***"
Букавац,Лялислав Бездомный,Александр и Елена,1,чудовища,воин,инстинкты,жестовое,живая плоть,"глаза: красные,шерсть: средней длины,зубы: клыки,глаза: светятся,рога: большие,хвост",6 лап,крысиное,большой,горизонтальное,"рога (урон: колющий / ударный; материал: роговое образование; тип силы: физическая),клыки (урон: кусательный; материал: зуб; тип силы: физическая)","Здоровяк,Быстрый,Удар,Слабый","хвойный лес,хвойный лес на холмах,лиственный лес,лиственный лес на холмах","букавачьи рога,мясо букаваца",https://the-tale.org/guide/mobs/1,"
> Путешествуя по лесам и предгорьям, несложно встретить это чудовище. На мой взгляд, не зря его изображение так часто используется в геральдике. Что-то есть в нем такое… благородное. В общем, красивый это монстр. Если кто в геральдике не силён, то букавац имеет шесть лап, длинное гибкое тело, шея и хвост короткие. Тяжёлая голова увенчана ветвистыми, как у оленя, рогами, а шерсть букаваца тёмно-серая или чёрная... Впрочем, на гербах они бывают и белые, и красные, и золотые.  
>   
> В принципе, букавацы не очень агрессивны, но лишь в сравнении с другими чудовищами. Несмотря на своё прекрасное здоровье, они не отличаются мощью, и в схватке полагаются на скорость. Букавацы опасны, и тем не менее на них охотятся. В цене рога, мясо и шкура.

***Лялислав Бездомный «Записки путешественника»***"
